JobID,Job_Title,Salary_estimate_range,Min_Salary_Estimate,Max_Salary_Estimate,Location
10346,Data Analyst,$24K-$48K ,24000,48000,"Dallas, TX"
10347,Lead Data Analyst,$47K-$76K ,47000,76000,"Houston, TX"
10348,Data Analyst II,$45K-$88K ,45000,88000,"Jersey City, NJ"
10349,Sr. Data Analyst,$48K-$96K ,48000,96000,"Jersey City, NJ"
10350,Data Analyst,$51K-$87K ,51000,87000,"Jersey City, NJ"
10351,Business Data Analyst,$73K-$127K ,73000,127000,"New York, NY"
10352,Data Analyst,$27K-$52K ,27000,52000,"New York, NY"
10353,Data Analyst,$98K-$114K ,98000,114000,"New York, NY"
10354,Sr. Data Analyst,$51K-$93K ,51000,93000,"East Palo Alto, CA"
10355,Sr. Data Analyst,$59K-$85K ,59000,85000,"New York, NY"
10356,Data Analyst,$53K-$94K ,53000,94000,"Tempe, AZ"
10357,Data Analyst,$42K-$76K ,42000,76000,"Austin, TX"
10358,Sr. Data Analyst,$58K-$93K ,58000,93000,"Mountain View, CA"
10359,Data Science Analyst,$37K-$66K ,37000,66000,"New York, NY"
10360,Data Analyst,$35K-$45K ,35000,45000,"Los Angeles, CA"
10361,Data Analyst,$59K-$85K ,59000,85000,"New York, NY"
10362,Business Data Analyst,$24K-$48K ,24000,48000,"Irving, TX"
